	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000161544	1.34883310849462	3.86484334511299	8.5604506325207	4.90657688968512e-08	1.54945158328893e-05	8.73153730684784
ENSG00000139269	2.57713665262937	-1.96527018305991	8.55981811885184	4.9122338098391e-08	1.54945158328893e-05	8.73042538243013
ENSG00000104321	-2.9236498857929	-0.513313069149908	-8.53279585824765	5.16034644592847e-08	1.59021180530311e-05	8.68286864161282
ENSG00000160408	-1.29345675026331	6.98371536131028	-8.52776660632884	5.20794260387472e-08	1.59021180530311e-05	8.67400615504738
ENSG00000172987	2.55894395292577	3.90473057297414	8.52587239009092	5.22598720869514e-08	1.59021180530311e-05	8.6706672576021
ENSG00000166736	-5.0446098677971	-1.82552626429372	-8.52320401461241	5.25151681022128e-08	1.59021180530311e-05	8.66596289906979
ENSG00000120057	2.98272251176372	0.754989478718869	8.45094812460787	5.9944017442701e-08	1.77526394529434e-05	8.53818990278296
ENSG00000266642	1.41411256175976	2.80949132860794	8.45042689001017	6.00014046873614e-08	1.77526394529434e-05	8.53726547813237
ENSG00000179456	-2.39255633190784	5.91771938189565	-8.44434736102185	6.06749814875898e-08	1.77526394529434e-05	8.526480392886
ENSG00000167536	1.32907649957723	3.18047562581901	8.43838035923841	6.13437284066236e-08	1.77526394529434e-05	8.51588979881909
ENSG00000272797	2.46784526383773	-2.01388407144331	8.43151228002857	6.21229464834973e-08	1.77526394529434e-05	8.50369362271683
ENSG00000181045	1.77005550213175	4.87305994517415	8.42956435724866	6.23458136655956e-08	1.77526394529434e-05	8.50023331982271
ENSG00000115194	-5.60490148323076	1.86817506994817	-8.42622185675531	6.27301747453829e-08	1.77526394529434e-05	8.4942944164753
ENSG00000143630	1.93258291692075	3.44378437070609	8.39878228733926	6.59800284754033e-08	1.8499455946886e-05	8.44547983695437
ENSG00000108262	-1.2431916142103	7.3218485905682	-8.391448643594	6.68778660105643e-08	1.85791620244578e-05	8.43241515679893
ENSG00000267014	2.72156693391177	2.15064303111384	8.38107022602737	6.81701979589469e-08	1.87660160399534e-05	8.41391314196885
ENSG00000236154	-4.88319166106332	-0.813009749447164	-8.35712229444191	7.12521215770149e-08	1.94377071484107e-05	8.37116135214301
ENSG00000186907	-3.55424432185448	2.76884546474836	-8.34764577267037	7.25113053705426e-08	1.96045967671911e-05	8.35422119201922
ENSG00000281371	1.03076920777703	2.32507954750824	8.27321259276545	8.32412618348935e-08	2.2306448226747e-05	8.22071680117174
ENSG00000115255	-1.06820543576691	3.51051444353717	-8.26531071288921	8.44733291187407e-08	2.24380427986367e-05	8.20649713478967
ENSG00000154027	-1.961268808502	6.78735669636596	-8.23724311925322	8.90048187634712e-08	2.30363497706725e-05	8.15591603156085
ENSG00000243978	2.27583718712531	0.239481459059997	8.23456467688534	8.94502380971734e-08	2.30363497706725e-05	8.15108323551609
ENSG00000136383	1.94646952996747	3.00634087677187	8.23034459308776	9.01567281202832e-08	2.30363497706725e-05	8.14346671182603
ENSG00000203618	-1.77260779915796	6.615476260576	-8.23021174135654	9.01790627910643e-08	2.30363497706725e-05	8.14322689570578
ENSG00000063180	-1.77603762654115	7.04384959781437	-8.22813136104827	9.05295605399435e-08	2.30363497706725e-05	8.1394711840675
ENSG00000257520	4.31769398094352	-1.68564139716785	8.21975838051694	9.19545772802497e-08	2.3203971288527e-05	8.12434913297019
ENSG00000235531	-3.46755513055642	1.42302140976123	-8.21305474884486	9.31122520383574e-08	2.3301918214657e-05	8.1122347332
ENSG00000232903	2.55349597521865	0.544891059616089	8.20674957996976	9.42149189354879e-08	2.33846062318484e-05	8.10083450007357
ENSG00000207148	8.45410829499781	-7.76921799928334	8.11427875759181	1.12037794539231e-07	2.75822476133534e-05	7.93298102505016
ENSG00000155980	-1.44906746313545	9.19616265200339	-8.08564781258526	1.1823908882496e-07	2.8874176199263e-05	7.88075946206757
ENSG00000143774	-1.03453301365705	7.70188402463995	-8.07935267229585	1.19649698940794e-07	2.89849002690094e-05	7.86926149979959
ENSG00000164690	2.41289756715017	1.04007259247154	8.06556166598574	1.22801318199866e-07	2.95122755270647e-05	7.84405241887207
ENSG00000283093	2.45812401808551	0.315624234549656	8.02581934006175	1.32374155286013e-07	3.10663924520072e-05	7.77125188329846
ENSG00000160932	-1.63210303572597	6.44395026549604	-8.02460311372345	1.32679030368845e-07	3.10663924520072e-05	7.76902037341473
ENSG00000059915	-2.0755675686103	8.17461356954566	-8.02284264352099	1.33121623061452e-07	3.10663924520072e-05	7.76578991493146
ENSG00000160439	0.819655735785138	3.32695095505579	8.0218502749845	1.33371784906738e-07	3.10663924520072e-05	7.76396872306632
ENSG00000282024	2.91152791157437	0.672572963187907	7.99551437521128	1.40191929284968e-07	3.240573901281e-05	7.71558496670435
ENSG00000181418	-3.75653476804879	6.31266327957044	-7.98979474309158	1.41720344951773e-07	3.25108618597321e-05	7.70506368105935
ENSG00000248439	-9.26889236958199	-6.76098525469389	-7.98095424748278	1.44116802845965e-07	3.28120368945765e-05	7.68879221514468
ENSG00000073331	-2.06678760097753	2.52586481759556	-7.94011599864924	1.55744908263897e-07	3.48836270829499e-05	7.61347968116575
ENSG00000144596	1.85382016013085	3.82369098216709	7.93935636760025	1.55970192048135e-07	3.48836270829499e-05	7.61207650028572
ENSG00000125355	1.81090244765139	4.07625030083931	7.93699850140705	1.56671618615012e-07	3.48836270829499e-05	7.60772054566412
ENSG00000164600	-7.1654634206424	1.77526250436945	-7.92895844550692	1.59088090074352e-07	3.51631128141712e-05	7.59286116179831
ENSG00000132164	2.68288427542645	5.38573151767583	7.91616140816172	1.63014286869536e-07	3.56654845546573e-05	7.56919069620081
ENSG00000279138	-2.8869843618634	0.796660435853828	-7.91390601253963	1.63716599620137e-07	3.56654845546573e-05	7.5650164615556
ENSG00000188620	11.30833711778	-7.82854638714378	7.89437131438696	1.699323658058e-07	3.67551569211816e-05	7.52883114803072
ENSG00000227917	-4.13370491290785	-1.69211770353285	-7.88091017525538	1.74357539196896e-07	3.74448272653987e-05	7.50386396561077
ENSG00000259275	2.77369198771386	0.0344302694889845	7.87589165583034	1.76037729072625e-07	3.74470162648413e-05	7.4945490721696
ENSG00000124785	-2.97118964110975	5.51297807498452	-7.87285598810878	1.77062201793252e-07	3.74470162648413e-05	7.48891277919961
ENSG00000230316	5.32448870516298	0.419944850580952	7.86986487392955	1.78077683766624e-07	3.74470162648413e-05	7.48335789711422
ENSG00000145194	1.98921190130726	5.98694354124337	7.86327512370615	1.80336256272016e-07	3.76604288011925e-05	7.47111529439682
ENSG00000276229	8.3436499267606	-8.07034924043154	7.85128636954645	1.84521742237658e-07	3.81754595275872e-05	7.44882608297125
ENSG00000128656	-2.3802224130561	7.82260741474523	-7.84902094783034	1.85323884632453e-07	3.81754595275872e-05	7.44461191432908
ENSG00000128510	4.14183293092953	-1.03835124840771	7.83933754797579	1.88793542490281e-07	3.84422050131517e-05	7.42659030084427
ENSG00000110931	-1.32988534436478	5.522267405402	-7.83547756160396	1.90195317434949e-07	3.84422050131517e-05	7.41940274024036
ENSG00000272078	1.81324511985097	-0.0474767882473829	7.83484145688865	1.90427355502552e-07	3.84422050131517e-05	7.41821806127429
ENSG00000159708	2.15326614720047	-0.165102215148861	7.82446654338162	1.94253605264029e-07	3.88270594847771e-05	7.39888754732391
ENSG00000214819	-10.7419431439286	-5.62883301699351	-7.82273952428301	1.94898221382587e-07	3.88270594847771e-05	7.39566824811337
ENSG00000106341	3.90952714362947	0.819513288140929	7.81221461522643	1.98874896569371e-07	3.93603316537067e-05	7.37603960358186
ENSG00000225243	2.02994163019938	-2.96063244893083	7.79539253635159	2.05406337400646e-07	4.03890214469413e-05	7.3446334282267
ENSG00000198944	-2.84115599035551	5.40305827612411	-7.7869697932171	2.08759721060951e-07	4.07835684738493e-05	7.32889300598258
ENSG00000277081	3.70573861915816	-1.16005017354928	7.77772718522708	2.12504872109335e-07	4.12491027714281e-05	7.31160852857505
ENSG00000228750	8.30997192406226	-7.81777365555594	7.76752331731261	2.1672048698296e-07	4.17994462823631e-05	7.29251195799688
ENSG00000120899	-2.77008781090644	6.49121647734641	-7.76083326924205	2.19531352056871e-07	4.20736004533804e-05	7.27998327874037
ENSG00000171951	2.68406260974638	7.31701556243091	7.74862041719603	2.2476048767484e-07	4.28048574042882e-05	7.2570950381272
ENSG00000184349	2.15445858246039	2.25453494473543	7.73679120620681	2.2994845616781e-07	4.29086459687333e-05	7.23490506084952
ENSG00000168539	-3.36358822469169	3.81628629689174	-7.73659636479149	2.30034939316725e-07	4.29086459687333e-05	7.23453939435971
ENSG00000223591	2.66868157877528	-0.282133563200687	7.73545405852655	2.30542646602907e-07	4.29086459687333e-05	7.23239547229265
ENSG00000127585	-2.2521820718209	8.42603930055949	-7.73448665572736	2.30973524418069e-07	4.29086459687333e-05	7.23057966669864
ENSG00000069424	-2.11494589557086	7.59180533976873	-7.72999566922462	2.32984747183753e-07	4.30183605455562e-05	7.22214834250968
ENSG00000006116	-2.72435161684321	4.22620527190966	-7.70867464111342	2.42783554025598e-07	4.3993683413633e-05	7.18208039066853
ENSG00000229356	3.47914364113609	-3.24341609982289	7.70789685475804	2.43148980345167e-07	4.3993683413633e-05	7.18061746792346
